id,emotion,visual,space,tags,caption
0,cozy,warm,private,"cozy, warm, private","cozy atmosphere, warm golden lighting, exclusive private interior, home party interior, indoor gathering space"
1,chic,cool,compact,"chic, cool, compact","refined modern atmosphere, cool-toned blue lighting, compact cozy gathering space, home party interior, indoor gathering space"
2,lively,cool,private,"lively, cool, private","vibrant party atmosphere, icy blue-white ambiance, private secluded party room, home party interior, indoor gathering space"
3,lively,warm,compact,"lively, warm, compact","lively and energetic vibe, soft warm-toned glow, small intimate area, home party interior, indoor gathering space"
4,cozy,warm,spacious,"cozy, warm, spacious","cozy atmosphere, warm golden lighting, spacious open layout, home party interior, indoor gathering space"
5,lively,bright,private,"lively, bright, private","vibrant party atmosphere, bright and well-lit space, exclusive private interior, home party interior, indoor gathering space"
6,lively,bright,spacious,"lively, bright, spacious","lively and energetic vibe, clear high-key lighting, spacious open layout, home party interior, indoor gathering space"
7,cozy,warm,compact,"cozy, warm, compact","snug and relaxed interior, warm golden lighting, small intimate area, home party interior, indoor gathering space"
8,chic,warm,private,"chic, warm, private","refined modern atmosphere, warm golden lighting, private secluded party room, home party interior, indoor gathering space"
9,cozy,warm,spacious,"cozy, warm, spacious","snug and relaxed interior, amber and orange warm tones, expansive roomy interior, home party interior, indoor gathering space"
10,lively,bright,spacious,"lively, bright, spacious","vibrant party atmosphere, bright and well-lit space, expansive roomy interior, home party interior, indoor gathering space"
11,cozy,cool,private,"cozy, cool, private","cozy atmosphere, cool-toned blue lighting, intimate enclosed setting, home party interior, indoor gathering space"
12,chic,cool,private,"chic, cool, private","chic and stylish aesthetic, crisp cool color palette, intimate enclosed setting, home party interior, indoor gathering space"
13,chic,dark,private,"chic, dark, private","refined modern atmosphere, dim moody atmospheric lighting, exclusive private interior, home party interior, indoor gathering space"
14,chic,dark,private,"chic, dark, private","sleek upscale interior, shadowy intimate lighting, private secluded party room, home party interior, indoor gathering space"
15,cozy,warm,compact,"cozy, warm, compact","snug and relaxed interior, warm golden lighting, enclosed snug setting, home party interior, indoor gathering space"
16,cozy,dark,private,"cozy, dark, private","comfortable homey feel, shadowy intimate lighting, exclusive private interior, home party interior, indoor gathering space"
17,cozy,cool,private,"cozy, cool, private","comfortable homey feel, icy blue-white ambiance, private secluded party room, home party interior, indoor gathering space"
18,cozy,warm,private,"cozy, warm, private","cozy atmosphere, warm golden lighting, exclusive private interior, home party interior, indoor gathering space"
19,lively,bright,spacious,"lively, bright, spacious","vibrant party atmosphere, airy luminous interior, spacious open layout, home party interior, indoor gathering space"
20,lively,bright,spacious,"lively, bright, spacious","vibrant party atmosphere, bright and well-lit space, expansive roomy interior, home party interior, indoor gathering space"
21,cozy,bright,spacious,"cozy, bright, spacious","comfortable homey feel, airy luminous interior, wide open party space, home party interior, indoor gathering space"
22,lively,bright,spacious,"lively, bright, spacious","dynamic and festive energy, bright and well-lit space, expansive roomy interior, home party interior, indoor gathering space"
23,cozy,cool,private,"cozy, cool, private","comfortable homey feel, cool-toned blue lighting, exclusive private interior, home party interior, indoor gathering space"
24,cozy,cool,compact,"cozy, cool, compact","comfortable homey feel, icy blue-white ambiance, enclosed snug setting, home party interior, indoor gathering space"
25,lively,bright,compact,"lively, bright, compact","lively and energetic vibe, clear high-key lighting, enclosed snug setting, home party interior, indoor gathering space"
26,lively,bright,spacious,"lively, bright, spacious","vibrant party atmosphere, clear high-key lighting, wide open party space, home party interior, indoor gathering space"
27,lively,bright,spacious,"lively, bright, spacious","vibrant party atmosphere, bright and well-lit space, expansive roomy interior, home party interior, indoor gathering space"
28,cozy,warm,private,"cozy, warm, private","snug and relaxed interior, amber and orange warm tones, exclusive private interior, home party interior, indoor gathering space"
29,cozy,bright,private,"cozy, bright, private","warm and inviting ambiance, clear high-key lighting, intimate enclosed setting, home party interior, indoor gathering space"
30,cozy,bright,private,"cozy, bright, private","cozy atmosphere, bright and well-lit space, private secluded party room, home party interior, indoor gathering space"
31,cozy,bright,private,"cozy, bright, private","comfortable homey feel, airy luminous interior, intimate enclosed setting, home party interior, indoor gathering space"
32,cozy,bright,spacious,"cozy, bright, spacious","cozy atmosphere, bright and well-lit space, wide open party space, home party interior, indoor gathering space"
33,lively,warm,private,"lively, warm, private","dynamic and festive energy, warm golden lighting, exclusive private interior, home party interior, indoor gathering space"
34,cozy,warm,spacious,"cozy, warm, spacious","snug and relaxed interior, amber and orange warm tones, wide open party space, home party interior, indoor gathering space"
35,lively,bright,compact,"lively, bright, compact","upbeat celebratory setting, bright and well-lit space, small intimate area, home party interior, indoor gathering space"
36,lively,warm,compact,"lively, warm, compact","vibrant party atmosphere, warm golden lighting, enclosed snug setting, home party interior, indoor gathering space"
37,lively,bright,spacious,"lively, bright, spacious","dynamic and festive energy, clear high-key lighting, wide open party space, home party interior, indoor gathering space"
38,lively,dark,spacious,"lively, dark, spacious","upbeat celebratory setting, shadowy intimate lighting, expansive roomy interior, home party interior, indoor gathering space"
39,cozy,bright,compact,"cozy, bright, compact","comfortable homey feel, bright and well-lit space, compact cozy gathering space, home party interior, indoor gathering space"
40,cozy,warm,private,"cozy, warm, private","snug and relaxed interior, warm golden lighting, private secluded party room, home party interior, indoor gathering space"
41,cozy,warm,compact,"cozy, warm, compact","cozy atmosphere, warm golden lighting, enclosed snug setting, home party interior, indoor gathering space"
42,lively,bright,spacious,"lively, bright, spacious","vibrant party atmosphere, clear high-key lighting, expansive roomy interior, home party interior, indoor gathering space"
43,cozy,dark,private,"cozy, dark, private","cozy atmosphere, dark low-key ambiance, intimate enclosed setting, home party interior, indoor gathering space"
44,cozy,dark,spacious,"cozy, dark, spacious","snug and relaxed interior, shadowy intimate lighting, expansive roomy interior, home party interior, indoor gathering space"
45,cozy,warm,private,"cozy, warm, private","cozy atmosphere, soft warm-toned glow, exclusive private interior, home party interior, indoor gathering space"
46,cozy,bright,private,"cozy, bright, private","cozy atmosphere, clear high-key lighting, exclusive private interior, home party interior, indoor gathering space"
47,chic,dark,spacious,"chic, dark, spacious","refined modern atmosphere, shadowy intimate lighting, expansive roomy interior, home party interior, indoor gathering space"
48,cozy,warm,private,"cozy, warm, private","cozy atmosphere, amber and orange warm tones, intimate enclosed setting, home party interior, indoor gathering space"
49,cozy,dark,private,"cozy, dark, private","warm and inviting ambiance, dark low-key ambiance, private secluded party room, home party interior, indoor gathering space"
