cocktail_id,name_kr,name_en,category,is_non_alcoholic,sweet_level,sour_level,bitter_level,body_level,freshness_level,creamy_level,spicy_level,nutty_level,mood_tag,description,embedding,is_active,created_at
1,그랑 마가리타,Grand Margarita,시트러스 사워,FALSE,2.4,2.9,0,1.8,2.9,0,0,0,social|cool|casual,"그랑 마가리타는 오렌지 리큐르의 향과 라임의 산미가 전면에 서는 타입으로, 재료의 개성이 비교적 또렷하다. 입에 닿으면 라임의 산미가 먼저 열리고, 오렌지 리큐르가 가운데를 둥글게 묶어주고 마무리는 무겁지 않게 떨어진다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 사워 계열답게 산미가 중심을 잡지만, 사용된 리큐르나 감미료에 따라 무게감이 달라진다.",,,
2,마가리타,Margarita,시트러스 사워,FALSE,2.2,2.9,0,1.8,2.9,0,0,0,social|cool|casual,"마가리타는 오렌지 리큐르의 향과 라임의 산미가 전면에 서는 타입으로, 재료의 개성이 비교적 또렷하다. 입에 닿으면 라임의 산미가 먼저 열리고, 오렌지 리큐르가 가운데를 둥글게 묶어주고 마무리는 무겁지 않게 떨어진다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 사워 계열답게 산미가 중심을 잡지만, 사용된 리큐르나 감미료에 따라 무게감이 달라진다.",,,
3,토미스 마가리타,Tommys Margarita,시트러스 사워,FALSE,3,3.1,0,1.7,3.1,0,0,0,social|cool|casual,"토미스 마가리타는 라임의 산미가 중심을 잡는 스타일로 읽힌다. 입에 닿으면 라임의 산미가 먼저 열리고, 중간에서는 테킬라가 뼈대를 잡아주고 마무리는 무겁지 않게 떨어진다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 사워 계열답게 산미가 중심을 잡지만, 사용된 리큐르나 감미료에 따라 무게감이 달라진다.",,,
4,네이키드 앤 페이머스,Naked And Famous,비터/허벌,FALSE,1.8,3,2.5,2,3,0,0,0,relaxing|dark|modern,"네이키드 앤 페이머스는 비터한 쌉쌀함과 허브 향이 전면에 서는 타입으로, 재료의 개성이 비교적 또렷하다. 입에 닿으면 라임의 산미가 먼저 열리고, 중간에서는 비터한 결이 구조를 세워주고 끝에는 쌉쌀한 여운이 분명하게 남는다. 입문자도 시도할 수 있지만 산미·쓴맛·향신료 중 어느 한 축에서 취향이 갈릴 가능성이 있다. 시끄러운 자리보다는 조도를 낮춘 바에서 천천히 마실수록 매력이 살아난다. 아페리티보 계열처럼 단맛보다 허브·비터의 성격이 기억에 남는 스타일이다.",,,
5,데킬라 선라이즈,Tequila Sunrise,과일계,FALSE,3.5,2,0,1.4,3,0,0,0,cozy|bright|casual,"데킬라 선라이즈는 오렌지 리큐르의 향과 그레나딘의 붉은 과일 느낌이 먼저 기억에 남는 과일계 칵테일이다. 입에 닿으면 테킬라 향이 먼저 열리고, 오렌지 리큐르가 가운데를 둥글게 묶어주고 마무리는 무겁지 않게 떨어진다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 과일 중심 칵테일처럼 향이 직관적이고 접근성이 좋지만, 단맛의 질에 따라 표정이 달라진다.",,,
6,롱 아일랜드 아이스 티,Long Island Iced Tea,리프레싱 하이볼,FALSE,3.5,2.5,0,1.5,3.5,0,0.7,0,cozy|bright|casual,"롱 아일랜드 아이스 티는 레몬의 산미와 오렌지 리큐르의 향을 앞세워 캐릭터를 만드는 스타일이다. 입에 닿으면 레몬의 산미가 먼저 열리고, 오렌지 리큐르가 가운데를 둥글게 묶어주고 마무리는 비교적 짧고 시원하게 정리된다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 하이볼 계열처럼 길게 마셔도 피로감이 적고, 청량감이 전체 인상을 주도한다.",,,
7,팔로마,Paloma,리프레싱 하이볼,FALSE,1.1,3.3,1.1,0.6,4.4,0,0,0,lively|bright|spacious,"팔로마는 탄산의 가벼움과 자몽 특유의 상큼하고 살짝 쌉쌀한 결을 앞세워 캐릭터를 만드는 스타일이다. 입에 닿으면 라임의 산미가 먼저 열리고, 중간에서는 테킬라가 뼈대를 잡아주고 마무리는 비교적 짧고 시원하게 정리된다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 더운 날 첫 잔으로 분위기를 가볍게 열거나, 오래 대화하는 자리에서 특히 잘 맞는다. 하이볼 계열처럼 길게 마셔도 피로감이 적고, 청량감이 전체 인상을 주도한다.",,,
8,일레갈,Illegal,티키/트로피컬,FALSE,3.1,2.9,0,1.9,2.9,1,0.6,0.6,social|cool|casual,"일레갈은 스모키한 결과 라임의 산미를 함께 앞세우는 타입으로, 재료의 개성이 비교적 또렷하다. 입에 닿으면 라임의 산미가 먼저 열리고, 중간부터 질감이 한층 부드러워지고 피니시는 둥글고 부드럽게 남는다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 티키 계열처럼 과일 향은 화려하지만, 뒤에서는 럼이나 향신료가 레이어를 만든다.",,,
9,IBA Tiki,Iba Tiki,티키/트로피컬,FALSE,2.6,2.9,0,1.8,2.5,0,0,2.6,social|warm|spacious,"IBA Tiki는 패션프루트 향과 스모키한 결을 앞세워 캐릭터를 만드는 스타일이다. 입에 닿으면 라임의 산미가 먼저 열리고, 중간에서는 너티한 뉘앙스가 볼륨을 만들어주고 마지막에는 스모키한 잔향이 붙는다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 휴가 같은 무드를 만들고 싶거나, 음악이 있는 느슨한 모임에서 존재감이 좋다. 티키 계열처럼 과일 향은 화려하지만, 뒤에서는 럼이나 향신료가 레이어를 만든다.",,,
10,마이타이,Mai Tai,티키/트로피컬,FALSE,3.1,2.9,0,1.8,2.9,0,0,2.5,social|cool|casual,"마이타이는 라임의 산미와 오렌지 리큐르의 향을 앞세워 캐릭터를 만드는 스타일이다. 입에 닿으면 라임의 산미가 먼저 열리고, 오렌지 리큐르가 가운데를 둥글게 묶어주고 끝으로 갈수록 고소한 여운이 남는다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 티키 계열처럼 과일 향은 화려하지만, 뒤에서는 럼이나 향신료가 레이어를 만든다.",,,
11,메리 픽포드,Mary Pickford,티키/트로피컬,FALSE,3.7,0.9,0,1.5,1.8,0,0,0,social|warm|spacious,"메리 픽포드는 파인애플의 과일감와 체리 계열 단향이 전면에 서는 타입으로, 재료의 개성이 비교적 또렷하다. 입에 닿으면 파인애플의 단향가 먼저 열리고, 중간에서는 럼가 뼈대를 잡아주고 마무리는 무겁지 않게 떨어진다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 휴가 같은 무드를 만들고 싶거나, 음악이 있는 느슨한 모임에서 존재감이 좋다. 티키 계열처럼 과일 향은 화려하지만, 뒤에서는 럼이나 향신료가 레이어를 만든다.",,,
